DisplayNameUSA,ItemCodeUSA,IsBundleUSA,DisplayNameCanada,ItemCodeCanada,IsBundleCanada
8-Pack Tropical Collection,55507 8-Pack Tropical Collection,false,8-Pack Dirty Vodka Martini - Canada,55508C 8-Pack Dirty Vodka Martini - Canada,false
8-Pack Dirty Vodka Martini,55508 8-Pack Dirty Vodka Martini,false,8-Pack Rum Swizzle - Canada,55511C 8-Pack Rum Swizzle - Canada,false
8-Pack Rum Swizzle,55511 8-Pack Rum Swizzle,false,8-Pack Watermelon Margarita - Canada,55523C 8-Pack Watermelon Margarita - Canada,false
8-Pack Watermelon Margarita,55523 8-Pack Watermelon Margarita,false,6-Pack Classic Collection Favorites Variety Pack - Canada,55524C 6-Pack Classic Collection Favorites Variety Pack - Canada,false
6-Pack Classic Collection Favorites Variety Pack,55524 6-Pack Classic Collection Favorites Variety Pack,false,8-Pack Great Gatsby - Canada,55527C 8-Pack Great Gatsby - Canada,false
8-Pack Great Gatsby,55527 8-Pack Great Gatsby,false,8-Pack Low-Cal Variety Pack - Canada,75526C 8-Pack Low-Cal Variety Pack - Canada,false
8-Pack Low-Cal Variety Pack,75526 8-Pack Low-Cal Variety Pack,false,8-Pack Rum Lovers Variety Pack - Canada,75542C 8-Pack Rum Lovers Variety Pack - Canada,false
8-Pack Rum Lovers Variety Pack,75542 8-Pack Rum Lovers Variety Pack,false,8-Pack Gin Lovers Variety Pack - Canada,75546C 8-Pack Gin Lovers Variety Pack - Canada,false
8-Pack Gin Lovers Variety Pack,75546 8-Pack Gin Lovers Variety Pack,false,8-Pack Vodka Lovers Variety Pack - Canada,75547C 8-Pack Vodka Lovers Variety Pack - Canada,false
8-Pack Vodka Lovers Variety Pack,75547 8-Pack Vodka Lovers Variety Pack,false,8-Pack Poolside Vibes Variety Pack - Canada,75548C 8-Pack Poolside Vibes Variety Pack - Canada,false
8-Pack Poolside Vibes Variety Pack,75548 8-Pack Poolside Vibes Variety Pack,false,8-Pack Bloody Mary - Canada,75551C 8-Pack Bloody Mary - Canada,false
8-Pack Bloody Mary,75551 8-Pack Bloody Mary,false,8-Pack Lychee Martini - Canada,75563C 8-Pack Lychee Martini - Canada,false
8-Pack Lychee Martini,75563 8-Pack Lychee Martini,false,8-Pack Strawberry Coconut Daiquiri - Canada,75570C 8-Pack Strawberry Coconut Daiquiri - Canada,false
8-Pack Strawberry Coconut Daiquiri,75570 8-Pack Strawberry Coconut Daiquiri,false,Capsule Drawer,850024487284 Capsule Drawer,false
Stemless Martini Glassware,850024487314 Stemless Martini Glassware,false,Stemless Martini Glassware,850024487314 Stemless Martini Glassware,false
Stemless Margarita Glassware,850024487338 Stemless Margarita Glassware,false,Stemless Margarita Glassware,850024487338 Stemless Margarita Glassware,false
Coupe Glassware,850024487352 Coupe Glassware,false,Coupe Glassware,850024487352 Coupe Glassware,false
Ice Maker - Cube,850024487475 Ice Maker - Cube,false,Ice Maker - Cube,850024487475 Ice Maker - Cube,false
Capsule Storage Rack (B2B Rack),850024487529 Capsule Storage Rack,false,Capsule Storage Rack (B2B Rack),850024487529 Capsule Storage Rack,false
Carousel Display Rack (Consumer Rack),850024487536 Carousel Display Rack,false,Carousel Display Rack (Consumer Rack),850024487536 Carousel Display Rack,false
Duet Replacement Glass Spirit Bottle,850024487741 Duet Replacement Glass Spirit Bottle,false,Duet Replacement Glass Spirit Bottle,850024487741 Duet Replacement Glass Spirit Bottle,false
